symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,83873.963,5905057276.27977300,20000978.00000000,2026-03-12 20:00:00
BTCUSDT,84271.193,5940047298.44662900,20000978.00000000,2026-03-13 00:00:00
BTCUSDT,85626.932,6111348945.99005800,20001396.00000000,2026-03-13 04:00:00
BTCUSDT,86634.836,6201780725.51080000,20001396.00000000,2026-03-13 08:00:00
BTCUSDT,88820.268,6412219371.77760000,20001396.00000000,2026-03-13 12:00:00
BTCUSDT,88762.953,6373323393.64939100,20001396.00000000,2026-03-13 16:00:00
BTCUSDT,85234.233,6063520718.50350000,20001396.00000000,2026-03-13 20:00:00
BTCUSDT,83154.167,5895264561.96520000,20001396.00000000,2026-03-14 00:00:00
BTCUSDT,83353.965,5921236024.97016500,20001768.00000000,2026-03-14 04:00:00
BTCUSDT,83804.311,5913709868.73270000,20001768.00000000,2026-03-14 08:00:00
BTCUSDT,84660.683,5986053042.83093400,20001768.00000000,2026-03-14 12:00:00
BTCUSDT,84391.984,5955057887.25493900,20001768.00000000,2026-03-14 16:00:00
BTCUSDT,84137.928,5945530957.98480000,20001768.00000000,2026-03-14 20:00:00
BTCUSDT,83494.763,5942689659.66720000,20001768.00000000,2026-03-15 00:00:00
BTCUSDT,83198.401,5933851087.92398500,20002162.00000000,2026-03-15 04:00:00
BTCUSDT,82033.012,5858934768.74492700,20002162.00000000,2026-03-15 08:00:00
BTCUSDT,82114.888,5895848958.40000000,20002162.00000000,2026-03-15 12:00:00
BTCUSDT,82394.104,5886600092.97632300,20002162.00000000,2026-03-15 16:00:00
BTCUSDT,82042.365,5867276141.44800000,20002162.00000000,2026-03-15 20:00:00
BTCUSDT,83090.614,6047235178.18320000,20002162.00000000,2026-03-16 00:00:00
BTCUSDT,84132.191,6187039260.04450000,20002546.00000000,2026-03-16 04:00:00
BTCUSDT,87470.258,6422057595.33420000,20002546.00000000,2026-03-16 08:00:00
BTCUSDT,86574.471,6364548207.90630000,20002546.00000000,2026-03-16 12:00:00
BTCUSDT,87024.321,6374041027.15053600,20002546.00000000,2026-03-16 16:00:00
BTCUSDT,89051.582,6584162292.54300000,20002546.00000000,2026-03-16 20:00:00
BTCUSDT,88359.114,6613707290.64155100,20002546.00000000,2026-03-17 00:00:00
BTCUSDT,88822.741,6610614734.37680000,20002956.00000000,2026-03-17 04:00:00
BTCUSDT,88155.412,6542259959.67360000,20002956.00000000,2026-03-17 08:00:00
BTCUSDT,86677.601,6414027267.53449900,20002956.00000000,2026-03-17 12:00:00
BTCUSDT,89184.252,6589165124.47261900,20002956.00000000,2026-03-17 16:00:00
BTCUSDT,92887.213,6917868075.38800000,20002956.00000000,2026-03-17 20:00:00
BTCUSDT,93211.424,6885751598.29760000,20002956.00000000,2026-03-18 00:00:00
BTCUSDT,93430.276,6952576616.42960000,20003043.00000000,2026-03-18 04:00:00
BTCUSDT,93431.301,6898984277.78419100,20003043.00000000,2026-03-18 08:00:00
BTCUSDT,92845.638,6769904873.08100700,20003043.00000000,2026-03-18 12:00:00
BTCUSDT,87158.31,6226549533.06883200,20003043.00000000,2026-03-18 16:00:00
BTCUSDT,86873.032,6170930267.78480000,20003043.00000000,2026-03-18 20:00:00
BTCUSDT,85934.444,6119282055.69542400,20003043.00000000,2026-03-19 00:00:00
BTCUSDT,86463.158,6154456232.75580000,20003043.00000000,2026-03-19 04:00:00
BTCUSDT,87327.666,6125945928.71584700,20003043.00000000,2026-03-19 08:00:00
BTCUSDT,89205.516,6237847355.67720000,20003043.00000000,2026-03-19 12:00:00
BTCUSDT,86928.555,6030042617.52900000,20003043.00000000,2026-03-19 16:00:00
BTCUSDT,87146.178,6120877389.56820000,20003043.00000000,2026-03-19 20:00:00
BTCUSDT,86874.419,6072083733.19047400,20003043.00000000,2026-03-20 00:00:00
BTCUSDT,86899.841,6143846436.92938200,20003043.00000000,2026-03-20 04:00:00
BTCUSDT,87618.192,6204410650.08480000,20003043.00000000,2026-03-20 08:00:00
BTCUSDT,86590.223,6099406649.09770000,20003043.00000000,2026-03-20 12:00:00
BTCUSDT,86792.299,6061433743.54053800,20003043.00000000,2026-03-20 16:00:00
BTCUSDT,87137.858,6111221967.54240000,20003043.00000000,2026-03-20 20:00:00
BTCUSDT,86774.827,6115467845.49973300,20003043.00000000,2026-03-21 00:00:00
BTCUSDT,87381.512,6172446506.50480000,20003043.00000000,2026-03-21 04:00:00
BTCUSDT,87166.133,6161030988.18338700,20003043.00000000,2026-03-21 08:00:00
BTCUSDT,87358.981,6169142727.95230000,20003043.00000000,2026-03-21 12:00:00
BTCUSDT,87309.322,6163959554.81020000,20003043.00000000,2026-03-21 16:00:00
BTCUSDT,87401.294,6150081850.26022900,20003043.00000000,2026-03-21 20:00:00
BTCUSDT,86381.612,5950086368.81680000,20003043.00000000,2026-03-22 00:00:00
BTCUSDT,87416.777,6058683042.61953450,20003043.00000000,2026-03-22 04:00:00
BTCUSDT,87800.538,6048087379.80720000,20003043.00000000,2026-03-22 08:00:00
BTCUSDT,88532.338,6035936553.34942700,20003043.00000000,2026-03-22 12:00:00
BTCUSDT,87793.122,6042070859.73654800,20003043.00000000,2026-03-22 16:00:00
BTCUSDT,87571.499,5969801629.72940000,20003043.00000000,2026-03-22 20:00:00
BTCUSDT,86672.012,5879387266.81880000,20003043.00000000,2026-03-23 00:00:00
BTCUSDT,87645.784,5963866136.85840000,20003043.00000000,2026-03-23 04:00:00
BTCUSDT,87787.727,5995102885.78430000,20003043.00000000,2026-03-23 08:00:00
